File,Class/Enum,Symbol,Type,Parameters,Description
lib/Lowlevel/Robot.h,RobotC,Turn,function,double Angle,"Rotate the robot in place toward the specified heading (degrees). Uses the global PID controller to generate a uniform speed for all four wheels. If the compile-time flag TURN_TO_GOAL is true the provided Angle argument is ignored and Goal.Angle is used instead. Useful for precise orientation before a drive or kick."
lib/Lowlevel/Robot.h,RobotC,Drive_Smoothed_set,function,double Dir; double Angle; int sollSpeed; int istSpeed,"Prepare a smoothed driving transition by storing the desired movement direction (Dir), target orientation (Angle), requested speed (sollSpeed) and current speed (istSpeed). The smoothing subsystem will interpolate between istSpeed and sollSpeed over time to avoid jerky motion."
lib/Lowlevel/Robot.h,RobotC,Drive_Smoothed_Update,function,,"Execute one update step of the smoothed drive controller. Should be called periodically (e.g., each loop iteration). Adjusts motor outputs to gradually approach the target speed without abrupt jumps, using Drive_Smoothed_Faktor from Param.h."
lib/Lowlevel/Robot.h,RobotC,Drive_Smoothed_Kill,function,,"Cancel any ongoing smoothing operation, reset internal timing/state variables and allow immediate speed changes again. Call when a sudden stop or new command is required."
lib/Lowlevel/Robot.h,RobotC,Drive,function,double Dir; double Angle=200000; int Speed1=HighSpeed,"Compute and set individual wheel velocities to drive in direction Dir (degrees) while maintaining orientation Angle. A PID controller corrects heading errors. Velocities are normalized so the largest wheel matches Speed1, preventing saturation. Passing Dir==1000 triggers Stop(). If TURN_TO_GOAL flag is set, Angle is replaced with Goal.Angle. Ideal for omnidirectional movement."
lib/Lowlevel/Robot.h,RobotC,Stop,function,,"Shut off all four drive motors immediately by invoking Motor.Off on each port. Leaves motors coasting."
lib/Lowlevel/Robot.h,RobotC,Break,function,,"Apply active braking to every drive motor via Motor.Break; useful for quick stops or controlling inertia. Sets both direction pins to same state to short the motor."
lib/Lowlevel/Robot.h,RobotC::KickerC,Once,function,,"Issue a single 150 ms high pulse on the kicker output pin. After the pulse completes the line is driven low automatically. Non-blocking; timing handled by Update(). Intended for a single shot when ball is in position."
lib/Lowlevel/Robot.h,RobotC::KickerC,On,function,int Cycletime,"Start repetitive kicker firing. Each cycle consists of a 150 ms high pulse followed by a low interval of (Cycletime–150) ms. `Cycletime` in milliseconds must exceed 150. Continues until Off() is called. Useful for rapid-fire scenarios."
lib/Lowlevel/Robot.h,RobotC::KickerC,Off,function,,"Stop any active kicker sequence and ensure the output pin is held low. Resets internal state so that another Once() or On() call can be performed without residual timing."
lib/Lowlevel/Robot.h,RobotC::KickerC,Update,function,,"Internal helper called from System.Update.Sensors() every loop. Manages elapsed time (Kicker_Timer) and toggles the output pin for both single and cyclic modes, enforcing minimum high-time (150 ms) and maximum (1 s) for safety."
lib/Lowlevel/Motor.h,MotorC,init,function,,"Configure the four PWM speed pins and four direction expander pins as outputs. Set the PWM frequency according to Motor_Frequency parameter so that motor electronics respond smoothly. Call once at startup."
lib/Lowlevel/Motor.h,MotorC,On,function,int Speed; int Motor,"Drive the specified motor port at signed speed value (-100..+100). The parameter is scaled to the 0–255 PWM range; sign determines direction and sets the appropriate expander bits. Negative speed rotates motor opposite."
lib/Lowlevel/Motor.h,MotorC,Off,function,int Motor,"Disable PWM and set both expander direction pins low to electrically disconnect the motor from supply, causing it to coast."
lib/Lowlevel/Motor.h,MotorC,Break,function,int Motor,"Assert both expander direction pins to the same level to effectively short the motor terminals and actively brake rotation, providing quick halting."
lib/Lowlevel/US.h,USC,init,function,,"Initialize the ultrasonic system by resetting the US_Timer1 timer to zero. Called during system setup."
lib/Lowlevel/US.h,USC,read,function,,"Periodically poll the left and right ultrasonic sensors over I2C. Converts raw 16‑bit readings into Distance_raw array and computes signed Distance representing the nearer obstacle. Respect US_Frequency from Param.h."
lib/Lowlevel/Cam.h,CamC,read,function,,"Parse incoming serial message from Pixy camera module. Updates x,y pixel coordinates, area, goal color flag and other fields used by vision algorithms (e.g., CamCalc). Must be called frequently to consume serial data."
lib/Lowlevel/Cam.h,GoalC,N/A,data struct,Angle; Distance; X; Y; Area; inSight; lastdir,"Data container for the most recent goal detected by the camera. Angle/Distance are polar coordinates relative to robot heading; X/Y are raw image coordinates; Area is blob size; inSight indicates detection; lastdir records previous sign of angle. Typically filled by vision routine."
lib/Lowlevel/Debug.h,DebugC,Start,function,,"Clear the internal plotting buffer and prepend an identifier marker. Should be called once per debug frame to begin collecting new data points."
lib/Lowlevel/Debug.h,DebugC,Plot,function,const String &Name; double Value,"Append a `Name:Value` pair to the buffer, formatted for compatibility with the VSC Serial Plotter. Use descriptive names for easier visualization."
